name,Longitude,Latitude,size,color,Region,pos
BaC,-111.79,26.59,12.15881,#FDAE61,1,[-111.79   26.59]
Ctv,-114.72,29.73,3.880886,#FDAE61,1,[-114.72   29.73]
LaV,-109.99,24.04,3.5337565,#FDAE61,1,[-109.99   24.04]
Lig,-111.27,25.73,4.731355,#FDAE61,1,[-111.27   25.73]
PtC,-111.15,24.19,4.684652,#FDAE61,1,[-111.15   24.19]
PtP,-113.9,29.03,10.925375,#FDAE61,1,[-113.9    29.03]
SLG,-114.4,29.59,5.955645,#FDAE61,1,[-114.4    29.59]
SnE,-110.7,24.45,11.82822,#FDAE61,1,[-110.7    24.45]
SnF,-114.73,30.76,6.325655,#FDAE61,1,[-114.73   30.76]
SnI,-113.02,27.29,5.466695,#FDAE61,1,[-113.02   27.29]
StR,-111.62,24.91,6.859545,#FDAE61,1,[-111.62   24.91]
TsS,-110.34,23.58,5.29057,#FDAE61,1,[-110.34   23.58]
CP,-110.66,27.95,7.870725,#B1C3D2,2,[-110.66   27.95]
LF,-112.27,30.68,8.472215,#B1C3D2,2,[-112.27   30.68]
PL,-112.58,30.39,6.692795,#B1C3D2,2,[-112.58   30.39]
SenBas,-112.87,31.95,9.116705,#B1C3D2,2,[-112.87   31.95]
Seri,-111.96,28.88,2.5,#B1C3D2,2,[-111.96   28.88]
SG,-112.05,29.4,11.02753,#B1C3D2,2,[-112.05   29.4 ]
SI,-112.5,29.75,11.52145,#B1C3D2,2,[-112.5    29.75]
SN,-111.8,28.82,8.325785,#B1C3D2,2,[-111.8    28.82]
TS,-111.37,28.41,16.001165,#B1C3D2,2,[-111.37   28.41]
